Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,Booster_Daily,Booster_Cumulative,Booster_7_Day_Rolling_Average
11/16/2021,46,AS,0,66939,43,0,35227,4,Admin,0,43,0,31267,13,0,849,26
11/16/2021,46,LA,0,5053736,6990,0,2571915,1821,Admin,0,6991,0,2246770,974,0,348070,4271
11/16/2021,46,UT,0,3848254,98,0,2010556,39,Admin,0,99,0,1747418,16,0,213196,72
11/16/2021,46,SC,0,5986066,9701,0,3052880,3227,Admin,0,9701,0,2615899,1375,0,438781,5149
11/16/2021,46,WV,87681,1685827,12921,81792,948453,11816,Report,87681,12921,5172,743031,883,1737,52815,609
11/16/2021,46,MA,23526,11071311,42938,10522,5717279,16320,Report,23526,42938,1984,4857106,3449,11535,807204,22539
11/16/2021,46,IN,9655,7527833,17690,3095,3702035,5099,Report,9655,17690,998,3385470,1620,5550,563161,10663
11/16/2021,46,NV,0,3820954,6755,0,2025141,2463,Admin,0,6755,0,1658987,897,0,230492,3440
11/16/2021,46,PA,64148,18712662,68845,37630,10566051,39879,Report,64148,68845,8187,7903294,8007,18387,854238,21864
11/16/2021,46,US,1368939,443374199,1459687,558324,227691941,490639,Report,1368939,1459687,159784,195435688,181011,641535,30708979,762919
11/16/2021,46,CT,0,5727467,13018,0,2910528,5206,Admin,0,13018,0,2547144,812,0,445323,7110
11/16/2021,46,NM,0,2990593,6737,0,1506430,2311,Admin,0,6737,0,1319377,497,0,272072,4048
11/16/2021,46,OR,0,5942144,11586,0,2955166,4155,Admin,0,11586,0,2678326,696,0,497000,6804
11/16/2021,46,KS,3972,3536460,13315,1539,1831500,4426,Report,3972,13315,544,1572949,1341,2004,262531,6860
11/16/2021,46,IN,0,7527833,10647,0,3702035,3353,Admin,0,10648,0,3385467,918,0,563150,6509
11/16/2021,46,VI,0,112907,169,0,58588,46,Admin,0,169,0,50028,30,0,4821,97
11/16/2021,46,WV,0,1685827,3640,0,948453,3273,Admin,0,3640,0,743031,217,0,52815,302
11/16/2021,46,IL,29063,17142748,57418,6957,8421011,13471,Report,29063,57418,3661,7791475,8107,19045,1385402,36012
11/16/2021,46,NE,0,2474935,4516,0,1204508,1495,Admin,0,4517,0,1100129,291,0,216297,2756
11/16/2021,46,AL,0,5061882,7228,0,2668054,2096,Admin,0,7228,0,2231218,1158,0,323563,4058
11/16/2021,46,OH,22426,13775877,52705,6999,6749808,13848,Report,22426,52705,2385,6139691,5264,13503,1192881,33575
11/16/2021,46,ND,6481,859725,3440,2143,439686,1146,Report,6481,3440,550,367616,325,3603,76711,1917
