State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,1077805,147333,195410,804032,109909,745933,135240,421543,57.6,390107,70.7,372563,50.9,346378,62.8,583365,426940,67500,0,34471,315333,453737,491,142323,198024,32149,67,141936,172366,32014,62,340642,57.6,390107,70.7,46.6,314589,57,421543,79282,86.6,74181,81,41167,29894,3092,28,159021,173626,1176800,420200,69,371697,61,142319,197164,32147,67,801809,131687,177015
Alabama,6742810,137519,176750,4584378,93498,4347635,113965,2597448,53,2460927,64.5,2111925,43.1,2011703,52.7,3424050,3013360,305400,0,138682,2012667,2432964,65,903124,1067586,140816,399,902703,967866,140736,398,1972206,53,2460927,64.5,40.2,1872062,49.1,2597448,737154,86.7,639546,75.3,338523,266362,34402,259,1373888,161665,793424,2597052,62,2111855,50.4,903113,1067535,140808,399,4583952,109484,161046
Arkansas,4117320,136434,177651,3057792,101325,2849225,122936,1690762,56,1573446,67.9,1387937,46,1297211,56,2128320,1795600,193400,0,99149,1314006,1641740,2897,591530,698399,97281,727,590467,609274,96769,701,1291304,56,1573446,67.9,42.8,1201059,51.8,1690762,449235,85.8,383914,73.3,217283,152049,14169,413,855503,163301,785925,1686951,66,1386449,54.2,591522,697039,97163,725,3052553,119369,161006
American Samoa,66550,119503,153429,62461,112160,52050,120000,34269,61.5,28512,65.7,28764,51.7,24144,55.7,49350,16600,600,0,546,16414,45500,1,7244,20966,554,0,7229,16362,553,0,28212,61.5,28512,65.7,50.7,23593,54.4,34269,2872,30.4,2589,27.4,1082,1482,25,0,5366,56867,705278,34259,72,28757,60.5,7243,20960,554,0,62444,131303,139937
Arizona,9983880,137165,177067,8315638,114246,7748086,137414,4340566,59.6,4035841,71.6,3747008,51.5,3497179,62,5477640,4048540,457700,0,290570,3356934,4654085,14049,1458781,2003157,280863,4207,1458205,1754363,280453,4158,3468335,59.6,4035841,71.6,47.7,3218903,57.1,4340566,1168586,89.3,1024264,78.3,500103,476036,45883,2242,2395524,183055,762924,4339610,69.9,3746628,60.4,1458756,2003038,280628,4206,8314539,133975,160873
Bureau of Prisons,250090,N/A,N/A,229479,N/A,229477,N/A,122843,N/A,122841,N/A,117551,N/A,117550,N/A,129870,108220,12000,0,11652,92500,125327,0,44810,61122,11619,0,44810,61122,11618,0,105983,N/A,122841,N/A,0,105983,0,122843,3539,0,3489,0,1672,1647,170,0,6920,0,0,122841,0,117550,0,44810,61122,11618,0,229477,0,0
California,58979155,149268,192632,51250507,129708,47299144,154484,28542080,72.2,26360568,86.1,23482292,59.4,21712615,70.9,33585795,22609860,2783500,0,1868207,19487278,29881657,13365,8579099,13043864,1855326,4003,8553687,11307350,1847840,3738,21644609,72.2,26360568,86.1,54.8,19882331,64.9,28542080,5865676,99.9,4733142,81.1,2388250,2158221,185407,1264,10954671,187641,1010240,28461494,84.6,23433352,69.6,8578669,12995714,1854975,3994,51120731,151936,175292
Colorado,8254105,143332,183456,7259806,126066,6734394,149679,3796452,65.9,3517448,78.2,3442553,59.8,3197887,71.1,4599705,3283000,371400,0,270388,2845438,4138927,5053,1309646,1865725,265696,1486,1305998,1625956,264500,1433,3179510,65.9,3517448,78.2,55.2,2935988,65.3,3796452,772113,91.7,707547,84,342892,340129,24005,521,1586897,188375,979818,3784597,76.7,3434435,69.6,1309629,1857650,265671,1485,7239667,146669,167220
Connecticut,5683545,159413,200277,5104277,143166,4717249,166226,2737025,76.8,2530607,89.2,2464693,69.1,2288622,80.6,3140625,2276720,266200,0,206099,1874263,3022948,967,879821,1379248,205284,340,879431,1203820,205110,261,2260332,76.8,2530607,89.2,63.4,2084422,73.5,2737025,634005,99.9,582618,92.4,229643,332431,20473,71,1269709,201463,901801,2735691,88.1,2464221,79.3,879616,1379064,205204,337,5102547,164283,182989
District of Columbia,1228225,174031,212650,1009395,143025,970399,168011,503628,71.4,479177,83,426895,60.5,409486,70.9,694665,477760,55800,0,30998,377926,600029,442,155414,236443,34775,263,155351,219136,34754,245,392572,71.4,479177,83,55.6,375182,65,503628,82280,94.2,73243,83.9,39521,31177,2505,40,192129,219971,1406210,503515,82.6,426845,70,155408,236405,34772,260,1009302,165526,201430
Dept of Defense,5431580,N/A,N/A,5757605,N/A,5463526,N/A,3162467,N/A,3000617,N/A,2391171,N/A,2266343,N/A,3341700,1892480,197400,0,252100,2070666,3425905,8934,817126,1353980,220043,22,816986,1229467,219868,22,2171511,N/A,3000617,N/A,0,2046856,0,3162467,218436,0,153043,0,53934,91859,7250,0,414283,0,0,3162282,0,2391105,0,817111,1353950,220022,22,5757362,0,0
Delaware,1563375,160550,202985,1210173,124278,1130559,146789,648821,66.6,608295,79,563872,57.9,529843,68.8,877515,619860,66000,0,50875,465243,692795,1260,206844,306230,50343,455,206729,272361,50301,452,513768,66.6,608295,79,52.8,479780,62.3,648821,185052,98,165264,87.5,67847,87909,9259,249,359987,190564,827594,648649,77.2,563828,67.1,206840,306199,50334,455,1209966,144077,186159
Florida,33166945,154425,192297,27130511,126319,25628493,148590,14461265,67.3,13640384,79.1,12421289,57.8,11765034,68.2,18485025,12881720,1800200,0,1208836,10129171,15698139,94365,4416105,6785789,1191049,28346,4414512,6132813,1189546,28163,11239124,67.3,13640384,79.1,52.3,10584329,61.4,14461265,4352428,96.8,3813429,84.8,1847998,1750212,197940,17279,8906683,198043,737480,14453189,77.3,12419578,66.4,4415423,6785550,1190262,28343,27121522,145066,177401
Federated States of Micronesia,86370,83334,106992,73107,70537,71925,89098,44854,43.3,44170,54.7,38876,37.5,38352,47.5,2970,72600,10800,0,11646,60260,1201,0,27131,631,11113,1,27126,135,11090,1,27806,43.3,44170,54.7,26.8,27305,33.8,44854,3512,20,3206,18.3,2161,7,1038,0,5739,32680,491828,44840,50.7,38867,43.9,27130,631,11105,1,73092,82581,97583
Georgia,14605945,137566,180019,10744528,101197,10076696,124196,5850414,55.1,5462110,67.3,4855141,45.7,4574526,56.4,7893405,6075540,637000,0,274882,4316300,6144790,8556,1906773,2672572,273012,2784,1905989,2393328,272596,2613,4585559,55.1,5462110,67.3,43.2,4305307,53.1,5850414,1327140,87.5,1160887,76.5,636364,490947,32251,1325,2641423,174127,962847,5848133,65.1,4854605,54,1906718,2672198,272909,2780,10741858,119512,162503
Guam,239170,144280,185239,237518,143283,213079,165032,128461,77.5,115141,89.2,114822,69.3,103762,80.4,145470,74200,19500,0,9925,77741,149816,36,36146,69335,9341,0,36132,58295,9335,0,105509,77.5,115141,89.2,63.6,94455,73.2,128461,16230,57.8,15166,54,6249,8398,519,0,31445,111956,851533,128433,90.7,114810,81.1,36145,69325,9340,0,237479,167756,168951
Hawaii,2353000,166187,210842,1894214,133784,1772684,158842,1090632,77,1014934,90.9,825118,58.3,777475,69.7,1365000,891500,96500,0,49311,619389,1131542,93972,269042,487980,50005,18091,268440,441118,49843,18074,775260,77,1014934,90.9,54.8,727777,65.2,1090632,278392,99.9,232344,86.6,96014,125117,9799,1414,516174,192281,876520,1086810,89.7,823602,68,268992,486561,49969,18080,1889609,156023,194285
Iowa,4290915,136001,176710,3500405,110945,3282389,135176,1841861,58.4,1726399,71.1,1712414,54.3,1611636,66.4,2382855,1699260,208800,0,145907,1387663,1966498,337,665981,902537,143656,240,665794,802022,143581,239,1569295,58.4,1726399,71.1,49.7,1468588,60.5,1841861,509685,92.2,490598,88.7,257923,219204,13363,108,1037194,187573,775999,1841771,68.8,1712387,64,665974,902519,143654,240,3500350,130792,160331
Idaho,2239990,125345,167305,1590796,89017,1589630,118730,847556,47.4,845243,63.1,750824,42,749341,56,1230750,894940,114300,0,66065,645082,877526,2123,292542,392004,65756,522,292521,390566,65734,520,685520,47.4,845243,63.1,38.4,684059,51.1,847556,251679,86.6,235240,80.9,108110,115853,11057,220,507485,174591,770630,0,0,0,0,0,0,0,0,0,0,0
Indian Health Svc,2125005,102026,N/A,1655095,79464,1514938,N/A,907520,43.6,829588,N/A,752757,36.1,690709,N/A,1020585,1019720,84700,0,32364,822705,800023,3,364888,355640,32229,0,364587,293949,32173,0,720645,43.6,829588,N/A,34.6,658648,0,907520,156304,0,131064,0,73983,53969,3112,0,295190,0,0,907097,0,752575,0,364813,355554,32208,0,1654473,0,0
