Day,pcr
2021-07-01,40
2021-07-02,39
2021-07-03,38
2021-07-04,33
2021-07-05,43
2021-07-06,44
2021-07-07,44
2021-07-08,36
2021-07-09,37
2021-07-10,36
2021-07-11,28
2021-07-12,45
2021-07-13,41
2021-07-14,45
2021-07-15,44
2021-07-16,38
2021-07-17,41
2021-07-18,41
2021-07-19,53
2021-07-20,47
2021-07-21,51
2021-07-22,56
2021-07-23,50
2021-07-24,50
2021-07-25,60
2021-07-26,84
2021-07-27,82
2021-07-28,71
2021-07-29,67
2021-07-30,73
2021-07-31,67
2021-08-01,53
2021-08-02,85
2021-08-03,78
2021-08-04,94
2021-08-05,84
2021-08-06,70
2021-08-07,72
2021-08-08,61
2021-08-09,81
2021-08-10,93
2021-08-11,95
2021-08-12,93
2021-08-13,76
2021-08-14,70
2021-08-15,64
2021-08-16,97
2021-08-17,86
2021-08-18,85
2021-08-19,91
2021-08-20,81
2021-08-21,77
2021-08-22,60
2021-08-23,83
2021-08-24,96
2021-08-25,95
2021-08-26,93
2021-08-27,75
2021-08-28,63
2021-08-29,67
2021-08-30,90
2021-08-31,100
2021-09-01,82
2021-09-02,84
2021-09-03,81
2021-09-04,69
2021-09-05,55
2021-09-06,63
2021-09-07,81
2021-09-08,91
2021-09-09,82
2021-09-10,76
2021-09-11,56
2021-09-12,63
2021-09-13,85
2021-09-14,76
2021-09-15,75
2021-09-16,70
2021-09-17,81
2021-09-18,57
2021-09-19,47
2021-09-20,74
2021-09-21,81
2021-09-22,80
2021-09-23,71
2021-09-24,66
2021-09-25,53
2021-09-26,43
2021-09-27,72
2021-09-28,72
2021-09-29,66
2021-09-30,70
2021-10-01,61
2021-10-02,50
2021-10-03,44
2021-10-04,77
2021-10-05,71
2021-10-06,69
2021-10-07,70
2021-10-08,63
2021-10-09,48
2021-10-10,44
2021-10-11,66
2021-10-12,54
2021-10-13,67
2021-10-14,60
2021-10-15,58
2021-10-16,45
2021-10-17,46
2021-10-18,55
2021-10-19,66
2021-10-20,58
2021-10-21,57
2021-10-22,57
2021-10-23,42
2021-10-24,40
2021-10-25,65
2021-10-26,57
2021-10-27,69
2021-10-28,61
2021-10-29,56
2021-10-30,44
2021-10-31,45
2021-11-1,61
2021-11-2,66
2021-11-3,55
2021-11-4,60
2021-11-5,63
2021-11-6,59
2021-11-7,54
2021-11-8,67
2021-11-9,68
2021-11-10,73
2021-11-11,60
2021-11-12,58
2021-11-13,52
2021-11-14,48
