Day,tp
2021/7/1,68
2021/7/2,53
2021/7/3,56
2021/7/4,58
2021/7/5,53
2021/7/6,52
2021/7/7,63
2021/7/8,59
2021/7/9,53
2021/7/10,68
2021/7/11,71
2021/7/12,51
2021/7/13,36
2021/7/14,60
2021/7/15,65
2021/7/16,52
2021/7/17,73
2021/7/18,71
2021/7/19,59
2021/7/20,59
2021/7/21,63
2021/7/22,66
2021/7/23,50
2021/7/24,56
2021/7/25,66
2021/7/26,62
2021/7/27,59
2021/7/28,43
2021/7/29,72
2021/7/30,77
2021/7/31,75
2021/8/1,72
2021/8/2,66
2021/8/3,62
2021/8/4,71
2021/8/5,69
2021/8/6,63
2021/8/7,63
2021/8/8,71
2021/8/9,61
2021/8/10,54
2021/8/11,66
2021/8/12,63
2021/8/13,70
2021/8/14,67
2021/8/15,59
2021/8/16,57
2021/8/17,52
2021/8/18,77
2021/8/19,86
2021/8/20,77
2021/8/21,73
2021/8/22,68
2021/8/23,57
2021/8/24,78
2021/8/25,89
2021/8/26,77
2021/8/27,70
2021/8/28,60
2021/8/29,70
2021/8/30,59
2021/8/31,61
2021/9/1,88
2021/9/2,69
2021/9/3,72
2021/9/4,83
2021/9/5,61
2021/9/6,72
2021/9/7,48
2021/9/8,71
2021/9/9,89
2021/9/10,58
2021/9/11,56
2021/9/12,69
2021/9/13,48
2021/9/14,57
2021/9/15,74
2021/9/16,73
2021/9/17,67
2021/9/18,66
2021/9/19,62
2021/9/20,68
2021/9/21,80
2021/9/22,82
2021/9/23,89
2021/9/24,82
2021/9/25,95
2021/9/26,100
2021/9/27,79
2021/9/28,94
2021/9/29,85
2021/9/30,88
2021/10/1,78
2021/10/2,79
2021/10/3,67
2021/10/4,63
2021/10/5,64
2021/10/6,71
2021/10/7,99
2021/10/8,65
2021/10/9,57
2021/10/10,78
2021/10/11,71
2021/10/12,80
2021/10/13,72
2021/10/14,78
2021/10/15,54
2021/10/16,80
2021/10/17,75
2021/10/18,55
2021/10/19,86
2021/10/20,86
2021/10/21,67
2021/10/22,76
2021/10/23,81
2021/10/24,81
2021/10/25,89
2021/10/26,70
2021/10/27,66
2021/10/28,84
2021/10/29,54
2021/10/30,61
2021/10/31,81
2021/11/1,54
2021/11/2,68
2021/11/3,68
2021/11/4,69
2021/11/5,60
2021/11/6,78
2021/11/7,69
2021/11/8,87
2021/11/9,62
2021/11/10,76
2021/11/11,67
2021/11/12,76
2021/11/13,61
2021/11/14,60
