Day,buy_house
2021/7/1,73
2021/7/2,73
2021/7/3,70
2021/7/4,73
2021/7/5,77
2021/7/6,75
2021/7/7,71
2021/7/8,87
2021/7/9,90
2021/7/10,73
2021/7/11,84
2021/7/12,88
2021/7/13,94
2021/7/14,92
2021/7/15,87
2021/7/16,94
2021/7/17,90
2021/7/18,94
2021/7/19,81
2021/7/20,96
2021/7/21,77
2021/7/22,92
2021/7/23,79
2021/7/24,78
2021/7/25,82
2021/7/26,74
2021/7/27,98
2021/7/28,94
2021/7/29,91
2021/7/30,67
2021/7/31,82
2021/8/1,83
2021/8/2,86
2021/8/3,90
2021/8/4,85
2021/8/5,76
2021/8/6,95
2021/8/7,85
2021/8/8,91
2021/8/9,86
2021/8/10,90
2021/8/11,72
2021/8/12,69
2021/8/13,80
2021/8/14,91
2021/8/15,98
2021/8/16,71
2021/8/17,72
2021/8/18,82
2021/8/19,83
2021/8/20,62
2021/8/21,80
2021/8/22,85
2021/8/23,71
2021/8/24,76
2021/8/25,71
2021/8/26,85
2021/8/27,80
2021/8/28,99
2021/8/29,86
2021/8/30,76
2021/8/31,85
2021/9/1,75
2021/9/2,70
2021/9/3,54
2021/9/4,78
2021/9/5,96
2021/9/6,94
2021/9/7,72
2021/9/8,70
2021/9/9,88
2021/9/10,79
2021/9/11,71
2021/9/12,62
2021/9/13,91
2021/9/14,72
2021/9/15,69
2021/9/16,93
2021/9/17,76
2021/9/18,70
2021/9/19,92
2021/9/20,77
2021/9/21,81
2021/9/22,82
2021/9/23,67
2021/9/24,64
2021/9/25,71
2021/9/26,93
2021/9/27,77
2021/9/28,89
2021/9/29,80
2021/9/30,73
2021/10/1,78
2021/10/2,70
2021/10/3,100
2021/10/4,82
2021/10/5,83
2021/10/6,64
2021/10/7,83
2021/10/8,79
2021/10/9,79
2021/10/10,79
2021/10/11,85
2021/10/12,73
2021/10/13,80
2021/10/14,84
2021/10/15,79
2021/10/16,81
2021/10/17,81
2021/10/18,67
2021/10/19,98
2021/10/20,73
2021/10/21,51
2021/10/22,67
2021/10/23,71
2021/10/24,68
2021/10/25,64
2021/10/26,71
2021/10/27,83
2021/10/28,83
2021/10/29,74
2021/10/30,80
2021/10/31,68
