Day,pharm
2021/7/1,75
2021/7/2,71
2021/7/3,72
2021/7/4,70
2021/7/5,60
2021/7/6,46
2021/7/7,57
2021/7/8,79
2021/7/9,56
2021/7/10,66
2021/7/11,71
2021/7/12,70
2021/7/13,41
2021/7/14,69
2021/7/15,49
2021/7/16,60
2021/7/17,59
2021/7/18,52
2021/7/19,65
2021/7/20,58
2021/7/21,67
2021/7/22,61
2021/7/23,59
2021/7/24,64
2021/7/25,64
2021/7/26,63
2021/7/27,57
2021/7/28,67
2021/7/29,84
2021/7/30,67
2021/7/31,58
2021/8/1,55
2021/8/2,65
2021/8/3,53
2021/8/4,69
2021/8/5,85
2021/8/6,66
2021/8/7,61
2021/8/8,66
2021/8/9,65
2021/8/10,54
2021/8/11,85
2021/8/12,50
2021/8/13,81
2021/8/14,67
2021/8/15,63
2021/8/16,75
2021/8/17,67
2021/8/18,63
2021/8/19,84
2021/8/20,60
2021/8/21,55
2021/8/22,71
2021/8/23,79
2021/8/24,64
2021/8/25,90
2021/8/26,56
2021/8/27,68
2021/8/28,67
2021/8/29,67
2021/8/30,56
2021/8/31,63
2021/9/1,100
2021/9/2,65
2021/9/3,64
2021/9/4,62
2021/9/5,70
2021/9/6,74
2021/9/7,74
2021/9/8,67
2021/9/9,83
2021/9/10,76
2021/9/11,70
2021/9/12,67
2021/9/13,63
2021/9/14,62
2021/9/15,53
2021/9/16,79
2021/9/17,58
2021/9/18,58
2021/9/19,63
2021/9/20,61
2021/9/21,50
2021/9/22,73
2021/9/23,68
2021/9/24,86
2021/9/25,75
2021/9/26,65
2021/9/27,61
2021/9/28,61
2021/9/29,57
2021/9/30,75
2021/10/1,54
2021/10/2,52
2021/10/3,55
2021/10/4,59
2021/10/5,54
2021/10/6,51
2021/10/7,78
2021/10/8,77
2021/10/9,51
2021/10/10,48
2021/10/11,55
2021/10/12,60
2021/10/13,55
2021/10/14,76
2021/10/15,58
2021/10/16,63
2021/10/17,55
2021/10/18,64
2021/10/19,54
2021/10/20,47
2021/10/21,74
2021/10/22,65
2021/10/23,59
2021/10/24,67
2021/10/25,66
2021/10/26,59
2021/10/27,42
2021/10/28,69
2021/10/29,51
2021/10/30,44
2021/10/31,50
