Day,Bionax
2021/7/1,0
2021/7/2,0
2021/7/3,0
2021/7/4,0
2021/7/5,0
2021/7/6,0
2021/7/7,0
2021/7/8,0
2021/7/9,49
2021/7/10,0
2021/7/11,0
2021/7/12,0
2021/7/13,0
2021/7/14,0
2021/7/15,0
2021/7/16,0
2021/7/17,0
2021/7/18,0
2021/7/19,0
2021/7/20,48
2021/7/21,0
2021/7/22,0
2021/7/23,0
2021/7/24,0
2021/7/25,0
2021/7/26,0
2021/7/27,48
2021/7/28,0
2021/7/29,0
2021/7/30,95
2021/7/31,0
2021/8/1,0
2021/8/2,0
2021/8/3,0
2021/8/4,0
2021/8/5,0
2021/8/6,0
2021/8/7,0
2021/8/8,0
2021/8/9,0
2021/8/10,0
2021/8/11,0
2021/8/12,0
2021/8/13,0
2021/8/14,54
2021/8/15,0
2021/8/16,0
2021/8/17,0
2021/8/18,95
2021/8/19,0
2021/8/20,0
2021/8/21,0
2021/8/22,0
2021/8/23,0
2021/8/24,0
2021/8/25,0
2021/8/26,0
2021/8/27,50
2021/8/28,0
2021/8/29,0
2021/8/30,0
2021/8/31,0
2021/9/1,0
2021/9/2,100
2021/9/3,0
2021/9/4,0
2021/9/5,0
2021/9/6,0
2021/9/7,0
2021/9/8,0
2021/9/9,0
2021/9/10,0
2021/9/11,0
2021/9/12,0
2021/9/13,0
2021/9/14,49
2021/9/15,0
2021/9/16,0
2021/9/17,0
2021/9/18,0
2021/9/19,0
2021/9/20,0
2021/9/21,100
2021/9/22,49
2021/9/23,0
2021/9/24,0
2021/9/25,0
2021/9/26,56
2021/9/27,100
2021/9/28,0
2021/9/29,0
2021/9/30,0
2021/10/1,0
2021/10/2,0
2021/10/3,54
2021/10/4,47
2021/10/5,0
2021/10/6,0
2021/10/7,50
2021/10/8,0
2021/10/9,0
2021/10/10,0
2021/10/11,0
2021/10/12,0
2021/10/13,0
2021/10/14,0
2021/10/15,0
2021/10/16,0
2021/10/17,0
2021/10/18,0
2021/10/19,0
2021/10/20,0
2021/10/21,0
2021/10/22,0
2021/10/23,0
2021/10/24,0
2021/10/25,0
2021/10/26,0
2021/10/27,0
2021/10/28,0
2021/10/29,0
2021/10/30,55
2021/10/31,0
2021/11/1,0
2021/11/2,0
2021/11/3,0
2021/11/4,0
2021/11/5,0
2021/11/6,0
2021/11/7,0
2021/11/8,0
2021/11/9,0
2021/11/10,0
2021/11/11,0
2021/11/12,50
2021/11/13,0
2021/11/14,0
